Spanish,English
el aborto, abortion
el ambiente familiar, family environment
botellón, youth drinking party in street
la brecha generacional, the generation gap
la clase baja, lower class
la clase media, middle class
la clase alta, upper class
comer el coco, to brainwash
el consumo de alcohol, alcohol consumption
contestar, to answer back
el correo electrónico, email
costar un riñon, to cost a bomb
dar un portazo, to slam the door
de madrugada, in the early hours
el desempleo, unemployment
drogarse, to take drugs
la emancipación, emancipation
emborracharse, to get drunk
envejecer, to grow old
estar a la moda, to be trendy
estar en paro, to be unemployed
la falta de respeto, lack of respect
idealista, idealistic
ídolo, idol/hero
inmaduro, immature
ir de compras, to go shopping
ir de tapeo, to go for tapas
una licenciatura, a uni degree
ropa de marca, designer clothing
la tasa de natalidad, birth rate
nocivo, harmful
un novio, a boyfriend
una novia, a girlfriend
rebelarse, to rebel
ahorrar, to save
un teclado, a keyboard
la autoestima, self-esteem
el trabajo social, social work
la xenofobia, xenophobia
el hogar, home